,FlrOnset,Flrmaxtime,Flrendtime,FlrPeakFlux,Flareq,xrsclass,optclass,optlocation,region,radiopatrol,TypeII,TypeIIDur,TypeIV,TypeIVDur,cmepatrol,cmeonset,cmespeed,satid,FlrHpTime,FlrIntFlux,FlrIntFlux2,IntFluxQ,tmewe,emmewe,tchianti,emchianti,Association,S1,S2,S3,S4,S5,GT100,Width,sep,1MHz_fluence,1MHz_close_freq,typeIII_int,FlarePersistence
149,1988-07-02T00:40:00.000,1988-07-02T01:02:00.000,1988-07-02T03:52:00.000,3.02e-05,0.0,M3.0,3B,S20W13,5066,Yes,0,-1.0,1,523.0,No,,,G7,1988-07-02T01:15:00.000,0.0368,0.0341,,13.8,49.4,14.3,49.1,None,,,,,,,,0,,,,6.9e-06
150,1988-07-07T07:18:00.000,1988-07-07T07:25:00.000,1988-07-07T08:00:00.000,3.4e-05,0.0,M3.4,SF,N13W72,5062,Yes,0,-1.0,0,-1.0,No,,,G7,1988-07-07T07:28:00.000,0.00926,0.00873,,20.7,49.3,19.4,49.1,None,,,,,,,,0,,,,1.1000000000000001e-05
151,1988-07-08T11:42:00.000,1988-07-08T12:05:00.000,1988-07-08T12:40:00.000,4.43e-05,0.0,M4.4,SN,N11W90,5062,Yes,0,-1.0,0,-1.0,No,,,G7,1988-07-08T12:11:00.000,0.0305,0.0283,,17.0,49.5,16.7,49.2,None,,,,,,,,0,,,,1.1000000000000001e-05
152,1988-07-09T17:24:00.000,1988-07-09T19:06:00.000,1988-07-09T20:54:00.000,2.4e-06,0.0,C2.4,SF,N20E02,5069,Yes,0,-1.0,1,27.0,No,,,G7,1988-07-09T19:53:00.000,0.0175,0.00731,,5.86,49.2,7.12,48.5,None,,,,,,,,0,,,,6.799999999999999e-06
153,1988-07-09T23:36:00.000,1988-07-09T23:45:00.000,1988-07-10T00:39:00.000,1.62e-05,0.0,M1.6,1N,N20E01,5069,Yes,0,-1.0,0,-1.0,No,,,G7,1988-07-09T23:52:00.000,0.00954,0.00868,,15.7,49.2,15.8,48.8,None,,,,,,,,0,,,,6.799999999999999e-06
155,1988-07-10T22:23:00.000,1988-07-11T00:40:00.000,1988-07-11T03:30:00.000,2.73e-05,16.0,M2.7,1B,S17E89,5074,,0,-1.0,0,-1.0,No,,,G7,1988-07-11T00:48:00.000,0.0949,0.0721,,12.9,49.5,13.6,49.1,None,,,,,,,,0,,,,1.6000000000000003e-05
156,1988-07-19T04:23:00.000,1988-07-19T07:57:00.000,1988-07-19T11:07:00.000,7.19e-06,16.0,C7.2,SB,S24W24,0,,0,-1.0,0,-1.0,No,,,G7,1988-07-19T08:09:00.000,0.0511,0.0351,,9.37,49.2,10.7,48.7,None,,,,,,,,0,,,,9.4e-06
157,1988-07-21T18:21:00.000,1988-07-21T18:37:00.000,1988-07-21T20:23:00.000,4.51e-06,0.0,C4.5,2B,S20E88,0,,0,-1.0,0,-1.0,No,,,G7,1988-07-21T19:21:00.000,0.0118,0.00899,,10.3,49.1,11.5,48.5,None,,,,,,,,0,,,,6.2e-06
158,1988-07-24T06:27:00.000,1988-07-24T07:02:00.000,1988-07-24T10:19:00.000,2.9e-05,0.0,M2.9,2N,S21E55,5084,Yes,1,5.0,1,121.0,No,,,G7,1988-07-24T07:32:00.000,0.0656,0.0596,,12.8,49.6,13.6,49.2,None,,,,,,,,0,,,,2.2999999999999996e-06
162,1988-07-28T22:45:00.000,1988-07-28T23:26:00.000,1988-07-29T00:22:00.000,3.65e-06,0.0,C4.0,SF,N25E40,0,Yes,0,-1.0,0,-1.0,No,,,G7,1988-07-28T23:45:00.000,0.0102,0.00628,,10.5,49.2,11.7,48.5,None,,,,,,,,0,,,,8.3e-06
164,1988-07-30T00:01:00.000,1988-07-30T00:32:00.000,1988-07-30T01:45:00.000,4.72e-06,16.0,C6.0,SF,N16E00,5090,Yes,0,-1.0,0,-1.0,No,,,G7,1988-07-30T01:20:00.000,0.0181,0.0102,,8.51,49.3,9.93,48.6,None,,,,,,,,0,,,,1.6000000000000003e-05
165,1988-07-30T02:30:00.000,1988-07-30T03:07:00.000,1988-07-30T03:33:00.000,4.62e-06,0.0,C4.6,SF,S21W10,5084,Yes,0,-1.0,0,-1.0,No,,,G7,1988-07-30T03:19:00.000,0.00824,0.00424,,9.01,49.2,10.4,48.6,None,,,,,,,,0,,,,1.6000000000000003e-05
